filename,measure_family,sex,data_year,release_date,size_mb
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2016_MALE_Y2026M03D18.CSV,BURDEN,MALE,2016,2026-03-18,54.26
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2017_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2017,2026-03-18,54.26
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2017_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2017,2026-03-18,54.85
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2017_MALE_Y2026M03D18.CSV,BURDEN,MALE,2017,2026-03-18,54.26
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2018_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2018,2026-03-18,54.26
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2018_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2018,2026-03-18,54.85
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2018_MALE_Y2026M03D18.CSV,BURDEN,MALE,2018,2026-03-18,54.26
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2019_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2019,2026-03-18,54.26
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2019_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2019,2026-03-18,54.85
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_COLORECTAL_2019_MALE_Y2026M03D18.CSV,BURDEN,MALE,2019,2026-03-18,54.26
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2000_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2000,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2000_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2000,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2000_MALE_Y2026M03D18.CSV,BURDEN,MALE,2000,2026-03-18,58.23
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2001_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2001,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2001_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2001,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2001_MALE_Y2026M03D18.CSV,BURDEN,MALE,2001,2026-03-18,58.23
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2002_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2002,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2002_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2002,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2002_MALE_Y2026M03D18.CSV,BURDEN,MALE,2002,2026-03-18,58.23
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2003_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2003,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2003_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2003,2026-03-18,58.79
